normalperson wj225|See: Batshua
boneheads bjarne|boneheads are individuals that have too much bone in their head (there is usually physical evidence of this).  This bone limits the supply of blood to their brain and causes them to do childish things like channel takeovers and other senseless annoyances.
HP48C bjarne|Check out ftp://ftp.engr.latech.edu/pub/alex/hp48 for a wicked C/C++ compiler for the HP48G/GX/S/SX calculators!
win-gnu32 bjarne|http://www.cygnus.com/misc/gnu-win32/  <--- 32-bit GNU for Windows!
dos bjarne|DOS Rules!! Linux Sux! =)
pbm bjarne|pbm = portable bitmaps, converts many graphics formats into each other, cmd line tools & C library
shareware bjarne|search for shareware on http://www.shareware.com
API bjarne|Application Programming Interface
OMG bjarne|Object Management Group
ODMG bjarne|Object Database Management Group
SOM bjarne|System Object Model
THGTTG bjarne|The Hitch-Hiker's Guide To The Galaxy
Patterns bjarne|Patterns and Pattern Languages are ways to describe best practices, good designs, and capture experience in a way that it is possible for others to reuse this experience.
c++pl bjarne|Bjarne Stroustrup, "The C++ Programming Language", Addison-Wesley, 1993, 2nd edition, ISBN 0-201-53992-6.
netprogramming bjarne|UNIX Network Programming by Richard W. Stevens is a great reference - Saeger's recommendation
dietel `CYCO|"C How to Program : Second Edition" H.M. Dietel/P.J. Dietel - (c)1994, 1992 by Prentice Hall Inc., Englewood Cliffs, NJ. 07632 ...ISBN 0-13-226119-7
DBMS bjarne|Data Base Management System
RDBMS bjarne|Relational Data Base Management System
fwd_struct bjarne|struct incomplete; struct referer { struct incomplete* reference; ...};  struct incomplete { int now_complete; ....};
unixhelp bjarne|[The UNIX Reference Desk] http://www.eecs.nwu.edu/unix.html
ODBC bjarne|Open DataBase Connectivity
DLL bjarne|Dynamic Link Library
man bjarne|MAN <keyword> -OR- MAN <expression>... returns the entry in my database that matches your keyword. This command is for accessing "Manual Pages".
annoying bjarne|Please use "calc, man, proto, examp" via /MSG (as a courtesy to other people)... Thanks Alot!
popd bjarne|POP3 Daemon for UNIX.... doh!
B&D bjarne|Bondage and discipline. Languages like Pascal, and C++ that whip you if you don't specify type in order to appease their lust for power and control.
holy bjarne|The K&R is the Holy Book. None other may take its place in the land of C.
bible bjarne|K&R
torah bjarne|K&R
quran bjarne|K&R
koran bjarne|K&R
cast bjarne|A cast is if you want to change the type of variable that it is from how you declared it.. example, if you declared a variable like this: int x;, and you wanted to change that to a float, you would use (float)x.
VB-CGI bjarne|http://www.gis.net/~mallodog/vbtips.html
#vb bjarne|http://www.gis.net/~mallodog/
ctor bjarne|constructor = special method that initializes a class X and is called X::X.
PID bjarne|Process ID
VB-archive bjarne|http://www.naples.net/~nfn01358
round bjarne|#include <math.h>  double round(double x) { return floor(x+.5); }
agi bjarne|Address Generation Interlock
borland bjarne|Borland International @ http://www.borland.com/
foley bjarne|Foley, van Dam, et al, Computer Graphics - Principles and Practice, Addison-Wesley, 1996, 2nd edition in C, ISBN 0-201-84840-6.
telnetd4winNT bjarne|http://www.ataman.com/products.html  <--- Telnet Daemon for Windows NT!!
rshd4winNT bjarne|http://www.ataman.com/products.html  <--- Remote Service Logon for Windows NT!! also worx with Windows 95
djgpp! bjarne|http://www.rt66.com/~brennan/djgpp/
djgpp-asm bjarne|http://www.rt66.com/~brennan/djgpp/djgpp_asm.html
RSX bjarne|ftp://ftp.simtel.net/pub/simtelnet/gnu/djgpp/v2tk/rsxntdj1.zip
doc_o bjarne|There is no Doc_O in C.
ponn bjarne|ponnasaurus pex
OSI_Layers bjarne|OSI layers = application, presentation, session, transport, network, datalink, physical from top to bottom
crap bjarne|A recyclable waste product that can be extracted from a mammal.  Warm, fuzzy, and soft describe this product quite well.
brown bjarne|Ralf Brown's Files = http://www.cs.cmu.edu/afs/cs/user/ralf/pub/WWW/files.html
BestCompiler bjarne|Watcom C/C++ 10.x
randrange bjarne|#define randrange(min,max) (rand()%((max)-(min)+1)+(min))
errmsg bjarne|An error message is a concise description of an error, providing ALL information needed to solve it! "It does not work" is thus gibberish!
randseed bjarne|To use a pseudo random number generator, you have to SEED it. To do this, use the call srand(time(NULL)) _ONCE_ at the start of your program.
dejanews bjarne|[Dejanews: Search for Usenet articles] http://www.dejanews.com/
marketcharts bjarne|http://www.mindspring.com/~mkennedy/charts.html for daily & intraday market charts & quotes.
books bjarne|http://www.bookpool.com/ They sell a lot of books that might be helpful to people in here asking about unix, c, c++, curses, etc.
codals bjarne|http://bizo.biz.usyd.edu.au/~brian/code.html
cppbooks bjarne|C++ & OOA/D Bibliography - http://www.schiele-ct.de/juergen/docs/cppbooks.html
oop bjarne|http://iamwww.unibe.ch/~scg/OOinfo/FAQ/oo-faq-toc.html#TOC <- OOP FAQ, most excellent.
ntircd bjarne|IRC Daemon for Windows NT ---> http://www.webmaster.com/high/products/conferenceroom/index.html
OS/2 bjarne|OS/2 = half an operating system
ObjC megaton|http://dmoz.org/Computers/Programming/Languages/Objective-C/
ISAPI.faq bjarne|ISAPI FAQ ---> http://www.nwlink.com/~laurelj/faq.htm
gems bjarne|ftp://ftp.princeton.edu/pub/Graphics/GraphicsGems/
slang bjarne|[slang: conio plus scripting] ftp://space.mit.edu/pub/davis/slang
httpproto bjarne|http://www.ics.uci.edu/pub/ietf/http/  "Hypertext Transfer Protocol (HTTP) Working Group" The HTTP RFC and more.
djgpp bjarne|DJGPP is gcc/DOS, a free compiler. The main homepage is at http://www.delorie.com/djgpp/ and programming tutorials at http://www.castle.net/~avly/djgpp.html!
dosint bjarne|Ralf Brown's Interrupt List: http://www.ctyme.com/rbrown.htm
this bjarne|calc it yourself
better bjarne|see "best"
isapi `CYCO|http://rampages.onramp.net/~steveg/isapi.html <--- (Internet Server API) ISAPI Developer's Site
devexchange `CYCO|http://www.windx.com/scripts/homepage.epl  <--- The Developer's exchange (Windows Programming)
devex `CYCO|http://www.windx.com/scripts/homepage.epl  <--- The Developer's exchange (Windows Programming)
isapi&iis `CYCO|http://staff.ndl.co.uk/martin/isapi.htm <--- Microsoft IIS and ISAPI (source samples, etc.)
JavaScript `CYCO|http://gmccomb.com/javascript/index2.html <--- JavaScript Sourcebook (code samples, etc.)
minesweeper `CYCO|http://www.microsoft.com/ie/most/howto/layout/minesweeper/minesweeper.htm  <--- Play MineSweeper Online!  (Need ActiveX Support)
kick bjarne|Kick - What will happen if anyone else does stupid calcs to waste bandwidth.
cbooks bjarne|http://www.cbooks.com is an excellent source of C/C++ related programming books. Full reviews are given for each book.
c++-tute bjarne|C++ tutorial: http://www.iftech.com/oltc/cpp/cpp0.stm
vim bjarne|http://www.math.fu-berlin.de/~guckes/vim/
- bjarne|Logical Negation Operator!
lpg bjarne|Linux Programmer's Guide - http://linuxwww.db.erau.edu/LPG/
dragon_book bjarne|Compilers: Principles, Techniques, Tools. ISBN: 0 201 10088 6
lisp-links bjarne|http://www.apl.jhu.edu/~hall/lisp.html
clos bjarne|Common Lisp Object System
steele bjarne|http://www.cs.cmu.edu/Groups/AI/html/cltl/cltl2.html
xfree bjarne|ftp://ftp.rge.com/.04/X/XFree86/3.2A/Linux-ix86-ELF
algorithms bjarne|ftp://ftp.cdrom.com/pub/algorithms
mmx bjarne|check out http://mmx.com
knuth bjarne|http://www-cs-staff.Stanford.EDU/~knuth/
voidptr bjarne|void: "He who groks the werg, does not know the werg. He who knows the werg, does not grok it".
advice bjarne|You want the answer? Buy a C Book!
bsearch bjarne|Binary Search Algorithm: Array M is the set of elements in ascending order. n is the number of items. x is the item we are trying to find. Set low = 0, high = n - 1. If low > high, x is not in M and the algorithm exits. Set mid = (low + high) / 2. If M[mid] < x, set low = mid + 1 and return to step 2. If M[mid] > x, set high = mid - 1 and return to step 2. If the above steps are not met, M[mid] equals x and the algorithm terminates.
PatternHome bjarne|Patterns Homepage = http://st-www.cs.uiuc.edu/users/patterns/patterns.html
gofbook bjarne|"Design Patterns" a/k/a "Gang of Four Book", http://st-www.cs.uiuc.edu/users/patterns/books/#Gamma
werg bjarne|werg (n) 1 that quantity of sleep which causes one to be confused upon waking. 2 the effect of lack of sleep which causes programmers to start coding sloppy.
incomp_t bjarne|struct incomplete; // this is now an incomplete type, until the layout (and thus, the size) of the struct is declared.
fortran2 dhartmei|FORTRAN, "the infantile disorder", by now nearly 20 years old, is hopelessly inadequate for whatever computer application you have in mind today: it is too clumsy, too risky, and too expensive to use. -- E. W. Dijkstra
code-complete bjarne|Steve McConnell, "Code complete - A Practical Handbook of Software Construction". Microsoft Press, 1993.
djgpp.files bjarne|To build C programs, you'll need djdev201.zip, gcc2721b.zip, and bnu27b.zip.  For C++, also get gpp2721b.zip and lgp271b.zip.
ldp bjarne|(cross reference: calc linuxdoc)
norvig bjarne|Peter Norvig, Paradigms of AI Programming, ISBN 1-55860-191-0 (join #lisp for more info)
headers bjarne|Unless you deleted your header files or need to check a cross-platform code issue, begging for header files on here is meaningless. You should find and use the header files that came with your compiler/OS/library.
Cowlishaw bjarne|Mike Cowlishaw's Homepage = http://rexx.hursley.ibm.com/rexx/mfcsumm.htm
c-criticism bjarne|http://www.progsoc.uts.edu.au/~geldridg/cpp/cppcv3/#sect3
lint bjarne|The lint command attempts to detect features of C program files that are likely to be bugs, non-portable, or wasteful.
Troi bjarne|Troi is a silly, daring, overboard, impressionable, passionate graphics goddess who probably needs to sleep more, eat more, work less, and get a boyfriend. Not necessarily in that order. :)
DBA bjarne|Data Base Administrator
malloc.2d bjarne|type** var=(type**)malloc(sizeof(type*)*dim1); for(int i=0;i<dim1;i++) var[i]=(type*)malloc(sizeof(type)*dim2);
chainletter bjarne|BURN IT burn it, destroy the chain letter
OEM bjarne|Original Equipment Manufacturer
CORBA bjarne|Common Object Request Broker Architecture
VB bjarne|Visual Basuck
debug bjarne|debug: The art of doing ones own work.. tracing through code and finding answers to the problem.. rather than asking in #c.
Coplien bjarne|James O. Coplien, "Advanced C++ Programming Styles and Idioms". Addison-Wesley, 1992, ISBN 0-201-54855-0.
c++evo bjarne|Bjarne Stroustrup, "The Design and Evolution of C++", Addison-Wesley, 1994, ISBN 0-201-54330-3.
PloP1 bjarne|Coplien, Schmidt (Eds.), "Pattern Languages of Program Design", Addison-Wesley, 1995, ISBN 0-201-60734-4.
c-ref bjarne|C: A Reference Manual, 4th. ed. Samuel P. Harbison & Guy L. Steele, Jr. ISBN 0-13-326225-3, (C) 1995, Prentice-Hall, Inc.
meyers bjarne|Scott Meyers, "Effective C++: 50 Specific Ways to Improve Your Programs and Designs", Addison-Wesley, 1992, 206 pages, ISBN 0-201-56364-9.
meyers2 bjarne|Scott Meyers, "More Effective C++: 35 New Ways to Improve Your Programs and Designs", Addison-Wesley, 1996, 318 pages, ISBN 0-201-63371-X.
deref bjarne|dereference: with 'item* p;' you get what p points to with '*p', i.e. '*p' is of type 'item'
LOC bjarne|Line(s) of Code, KLOC = 1000 LOC
fortran bjarne|A retired language. Enough said.
ipc-tute bjarne|An {Introductory|Advanced} 4.4BSD IPC Tutorial -- http://www.cs.umn.edu/~bentlema/unix/
answer bjarne|Answer: 42
pointer bjarne|Pointer: Don't cross the highway without sufficient life insurance.
petzold bjarne|"Programming Windows 95", Charles Petzold w/ Paul Yao. ISBN 1-55615-676-6, Microsoft Press
idle bjarne|When you think they're there, but they're not really there. You know?
hotbot bjarne|Do your OWN searching: www.hotbot.com
winsock.sample bjarne|http://www.bsoftware.com/a22c32p0.htm
imap bjarne|http://www.imap.org/biblio.html -- IMAP Documents (RFCs and drafts)
web_books bjarne|http://www.amazon.com/ and http://www.books.com/ are the web places to look for bibliographic data (you can buy the books, too :)
bool bjarne|enum bool {false, true};
idiot bjarne|Someone who is not smart; in an annoying way.
vi bjarne|The editor of the Gods
scieng bjarne|Scientific and Engineering C++: http://heg-school.aw.com/cseng/authors/barton/about-barton.html
spa bjarne|To report a suspected case of piracy, call SPA's Anti-Piracy Hotline at (800) 388-7478, send e-mail to piracy@spa.org. or complete the on-line Piracy Intake Form. To report a case of Internet piracy, send an e-mail message to netpiracy@spa.org or complete the on-line Internet Piracy Intake Form. All sources are kept strictly confidential.
silly bjarne|You're all a big bunch of sillybillies!
sdn bjarne|The Software Developers Network - http://www.sdn.ml.org - A great information source for programmers.
oob-fix bjarne|ftp://ftp.microsoft.com/bussys/winnt/winnt-public/fixes/usa/NT40/hotfixes-postSP2/oob-fix or ftp://ftp.microsoft.com/bussys/winnt/winnt-public/fixes/usa/NT351/hotfixes-postSP5/oob-fix
unix bjarne|UNIX - a hacker's paradise
threads megaton|_wolf says: http://www.llnl.gov/computing/tutorials/workshops/workshop/pthreads/MAIN.html
thanks bjarne|You're welcome.
cod3r bjarne|ne1 know how to code super leet warez?
snippets.org bjarne|Snippets - See http://www.snippets.org
wombat bjarne|A large burrowing marsupial.
zLib bjarne|http://www.cdrom.com/pub/infozip/zlib/
c-faq bjarne|The comp.lang.c FAQ is a very useful source containing many questions to commonly asked questions regarding C. ftp://rtfm.mit.edu/pub/usenet/comp.lang.c/C-FAQ-list
unix-faq bjarne|The comp.unix.programmer FAQ can be found at http://www.whitefang.com/unix/
serial bjarne|The Serial programming FAQ is available at ftp://ftp.phil.uni-sb.de/pub/chris/
serial-faq bjarne|The Serial Programming FAQ is available at ftp://ftp.phil.uni-sb.de/pub/chris
onelook bjarne|One Look Dictionary. http://www.onelook.com
mfcfaq bjarne|Get the latest MFC FAQ from Scott Wingo and the gang at StingSoft at: http://www.stingsoft.com/mfc_faq/
autoduck bjarne|AutoDuck is a tool that generates HTML, RTF, and WinHelp files from your source code. The tool is free and works with C, C++, Basic, Assembly, and Java source. You can get it via ftp://ftp.accessone.com/pub/ericartzt/autoduck.zip.
autodoc bjarne|AutoDuck is a tool that generates HTML, RTF, and WinHelp files from your source code. The tool is free and works with C, C++, Basic, Assembly, and Java source. You can get it via ftp://ftp.accessone.com/pub/ericartzt/autoduck.zip.
ActiveX_faq bjarne|http://www.widgetware.com/tomsfaqs.htm  <--- ActiveX FAQ
Sputnix bjarne|Great guy, lots of fun at parties! http://www.sputnix.com/chad knudson@sputnix.com
tools bjarne|http://www.sputnix.com/LearnC/GettingTheTools.htm: let knudson@sputnix.com know if there are any "must hate" tools that he is missing. This page is intended for people who may be new to C/C++ programming and want to get started but don't necessarily know what they need or where to get it.
jed bjarne|JED is a free editor available for many platforms (Unix, DOS, Win95/NT).  It has an EMacs emulation mode and sports features such as color sytax highlighting and smart indent mode for C/C++ programming.  It is available from ftp://space.mit.edu/pub/davis/jed.
ActiveX_site `CYCO|http://www.widgetware.com/   <--- ActiveX Developer Resourcescalc-abuse Use calc in MSG if you plan to calc more than 2 things... calc abuse is not tolerated and you WILL be kicked for it.
idwic bjarne|I do what I can.
langwar bjarne|- This is #c, so C wins by default. See OSWar.
OSWar bjarne|OS Wars - Usually a lame and silly thing.  Take it elsewhere.
CompilerWars bjarne|Shut the hell up. See OSWars.
cygwin32 bjarne|see: calc gnu-win32
netex saeger|http://www.tdl.com/~netex  <- Looking for hardware? NetExpress is a MUST see - Saeger
argc saeger|int main (int argc, char **argv) {   argc is a count of the arguments on the command line including the name of the program invoked. also see "argv"
argv saeger|seeing argv eh? argv contains the arguments. argv[0] being the name of the program, argv[1] being the first argument... etc.
wingate saeger|WinGate is a client/server application designed to allow multiple users simultaneous access to the Internet with only one connection. http://www.deerfield.com/wingate
xemacs ThaDragon|Xemacs, the spawn of satan for X11, 'Nuff said.
c megaton|C is the language of the gods.
Justino Justino|`Burn!!!!!!!!!!1
`CYCO `CYCO|Yeah... I'm not crazy, you're the one that's crazy!
test `CYCO|don't test me... I'm testy already!
apl dhartmei|APL is a mistake, carried through to perfection. It is the language of the future for the programming techniques of the past: it creates a new generation of coding bums. -- E. W. Dijkstra
best SNIBRIL|Use of best is highly subjective, like in "BEST position for sex" or "What is the BEST compiler?" Ask sensible questions!
OO SNIBRIL|OO = Object-Oriented, or Object-Orientation (http://iamwww.unibe.ch/~scg/cgi-bin/ooinfo.cgi, http://iamwww.unibe.ch/~scg/OOinfo/FAQ/index.html).
APUE SNIBRIL|Advanced Programming in the Unix Environment by W. Richard Stevens. ISBN 0-201-56317-7
RapidDev SNIBRIL|Steve McConnel, "Rapid Development - Taming Wild Software Schedules", Microsoft Press, 1996, ISBN 1-55615-900-5.
MM-M SNIBRIL|Frederick P. Brooks, Jr., "The Mythical Man-Month: Essays on Software Engineering", Anniversary edition, 1995, Addison-Wesley Longman, ISBN 0-201-83595-9.
0/0 xgc|Xgc says 0/0 is 2 (but other valid solutions exist).
IDL SNIBRIL|Interface Definition Language
WSC Sputnix|Writing Solid Code by Steve Maguire. ISBN: 1-55615-551-4 Here, from a former Microsoft developer, are super secrets for developing bug-free C programs. You'll see examples of how bugs are caught at Microsoft (actual case histories) and how to use these proven programming techniques to get products to market faster.
codecomplete Sputnix|Code Complete by Steve McConnell  ISBN: 1-55615-484-4  This runaway bestseller is a practical guide to software design that discusses the art and science of constructing software. Examples are provided in C, PascalTM, Basic, FORTRAN, and Ada, but the focus is on successful programming techniques.
toll _Vile|C programming help fee, $5.00 for each question. Thank-you, please drive through.
vss Sputnix|Microsoft Visual SourceSafe is a leading project-oriented version control system that is easy to use and administer.  http://www.microsoft.com/ssafe/ for more information
Zhivago zhivago|#C's spiritual leader
Sputnik Sputnix|Sputnik and Sputnix are one and the same
supertaz Sputnix|He's furry, he's cuddly, he's fun...he's SuperTaz!
SOP SNIBRIL|Buschmann et al, "A System of Patterns (Pattern-Oriented Software Architecture)", 1996, Wiley & Sons, ISBN 0-471-95869-7.
VorteX ThaDragon|VorteX is a UNIX based Posix Compliant VR based OS, currently under development by The VorteX Team. There will be a free X86 version (VorteX86) and a commercial RISC version (VorteXRiSC)... Check out the Homepage at http://dwi.net.com/~dragon/VorteX/ (Currently under construction)
cyrixboy Sputnix|CyrixBoy is a frequenting Windows abuser that rebels by using non-Intel equipment.
possible possible|A.K.A. Chad, cloder@acm.org, http://www.ccs.neu.edu/home/cloder
duh SNIBRIL|DUH!
satanic saeger|www.satanic.org Satanic Sysadmins .. you'll laugh... you'll cry... :) - Saeger
demoncrat demoncrat|I'm sure demoncrat will come up with a calc someday.
ymmv demoncrat|Your mileage may vary.
aquestion wawb|You'd be suprised by the responses you'd get if only you'd ask a question.
Plush Justino|Burn's ThreeD: http://nullsoft.com/plush (Free! With source! Go spooge!)
cygnus Ape|see "gnu-win32"
cbook CyrixBoy|Waite Group's "C Primer plus" or "C++ Primer plus" are excellent beginning books
fsf ada|prep.ai.mit.edu/pub/gnu/
pkh megaton|<jerzei> pkh=explosion noise, sound it out. kinda like kaboom
WhyBetaTest SilverStr|In his classic book, The Art of Software Testing (Wiley,1979), Glenford J. Meyers states as a fundamental premis that "a programmer should avoid atttempting to test his or her own program" The reseasoning behind this statement is sound: programmers simply cannot be in the right psychological state of mind to be highly motivated to seek out as many flaws as possible in their own code.
ugu saeger|http://www.ugu.com - Unix Guru Universe - The Official Homepage For Unix System Administrators
ed saeger|ed or ex - line based editors - KNOW THEM! (lest you be editorless when vi is corrupt/unmounted)
viref saeger|vi Quick Reference Guide - http://www-wks.acs.ohio-state.edu/unix_course/intro-134.html
netbsd saeger|http://www.netbsd.org - A free *bsd ported to many platforms including x86
openbsd saeger|http://www.openbsd.org - another free *bsd - netbsd plus more stuff
ptr saeger|type "calc *' instead.
ctip1 saeger|All your code should be written with the expectation that others will use it.
LearnC Sputnix|LearnC is a website (http://www.sputnix.com/LearnC) and e-mail list dedicated to helping people learn to program in C.  You can join the e-mail list by sending a message to learnc-request@sputnix.com with the word SUBSCRIBE in the message body.
gff-faq SNIBRIL|Graphics File Format FAQ - http://www.cis.ohio-state.edu/hypertext/faq/usenet/graphics/fileformats-faq/top.html
basic2 dhartmei|It is practically impossible to teach good programming style to students that have had prior exposure to BASIC: as potential programmers they are mentally mutilated beyond hope of regeneration. -- E. W. Dijkstra
structures Ape|http://ppl.mines.colorado.edu/406.dir/tableofcontents2_1.html
linkedlist saeger|a single or double linked list consists of nodes (structures) in which is data and pointers to the next node and the previous node (double).
listexamp saeger|struct t_llist { struct t_llist *next; int mydata; } /* you then need to write insert, delete, search, etc functions to operate on the list. keyword is code reuse */
unix.prog jamiroqui|http://www.cs.buffalo.edu/~milun/unix.programming.html
amp Justino|Fast, freeware MP3 decoder/player for unix like OSes. ftp://ftp.rasip.fer.hr/pub/mpeg/
freeunix saeger|Freely available unix OS's (for x86's and others): FreeBSD @ www.freebsd.org, NetBSD @ www.netbsd.org, OpenBSD @ www.openbsd.org, Linux @ www.linux.org (make your own informed choice)
random Ape|http://lavarand.sgi.com <--- a TRUE random number generator!
real_e Blakes_7|2.7182818284 5904523536 0287471352 6624977572 4709369995 9574966967 6277240766 303535475 9457138217 8525166427 4274663919 3200305992 1817413596 6290435729 0033429526 0595630738 1323286279 4349076323 382988075 3195251019 0115738341 8793070215 4089149934 8841675092 4476146066 8082264800 1684774118 5374234544 2437107539 077744992069
x86info saeger|http://sysdoc.pair.com/ - detailed x86 techinfo - motherboard,cpu,chipset,ram,disk,video,benchmarks,etc
mSQL saeger|mSQL - A Lightweight Mini SQL Database Engine (for just about every unix platform) @ ftp://Bond.edu.au/pub/Minerva/msql/
specific OrngeTide|When asking your questions in #C. One should be as specific as possible. If one is doing anything platform specific one should make it clear what platform the question is for.
allegro xgc|Graphics, input, sound, music library for djgpp v2. Great program.
CYCO `CYCO|You wouldn't know what crazy was if Charles Manson was eating Fruit Loops on your front porch!
dereference saeger|a pointer prefixed by '*' (eg: *myptr) _dereferences_ the pointer to get the VALUE at the ADDRESS stored in the pointer.
